171.9457	168.5356
177.3040	161.3051
182.9191	154.2722
157.4791	191.3174
162.0268	183.5515
166.8511	175.9543
188.7837	147.4459
214.5803	122.3801
221.5722	116.7140
228.7635	111.3033
194.8901	140.8352
201.2306	134.4485
207.7968	128.2941
153.2138	199.2419
127.1228	284.8700
128.3231	275.9508
129.8435	267.0807
125.4571	311.8054
125.6889	302.8089
126.2444	293.8265
131.6823	258.2710
142.1662	223.8639
145.5524	215.5258
149.2365	207.3149
133.8369	249.5333
136.3046	240.8787
139.0822	232.3185
236.1450	106.1549
389.6838	64.1520
398.6580	64.8260
407.6022	65.8226
362.6970	64.0719
371.6917	63.7747
380.6911	63.8014
416.5047	67.1405
451.4684	75.5845
459.9912	78.4749
468.4043	81.6701
425.3540	68.7780
434.1386	70.7329
442.8472	73.0027
353.7190	64.6927
267.3767	88.3129
275.5606	84.5692
283.8739	81.1225
243.7069	101.2755
251.4396	96.6715
259.3329	92.3488
292.3059	77.9772
327.0000	68.4861
335.8589	66.9012
344.7691	65.6362
300.8457	75.1374
309.4821	72.6069
318.2040	70.3888
323.1975	558.2249
314.4320	556.1858
305.7456	553.8326
349.8543	562.4328
340.9201	561.3504
332.0307	559.9472
297.1496	551.1682
263.8893	537.4746
255.9091	533.3144
248.0838	528.8696
288.6549	548.1962
280.2728	544.9204
272.0140	541.3450
358.8217	563.1928
447.7611	553.0601
439.1008	555.5077
430.3581	557.6420
473.1355	543.8713
464.7895	547.2381
456.3277	550.3024
421.5441	559.4603
385.8064	563.5318
376.8094	563.7427
367.8106	563.6297
412.6705	560.9601
403.7486	562.1396
394.7900	562.9972
240.4235	524.1460
140.7986	399.9957
137.8463	391.4942
135.2020	382.8920
151.4626	424.7863
147.6111	416.6525
144.0549	408.3854
132.8689	374.2001
126.7044	338.7634
125.9651	329.7943
125.5492	320.8044
130.8502	365.4300
129.1485	356.5928
127.7660	347.7001
155.6043	432.7761
211.6281	502.5917
204.9373	496.5731
198.4675	490.3175
232.9383	519.1498
225.6377	513.8874
218.5312	508.3657
192.2269	483.8331
169.7154	455.7798
164.7366	448.2829
160.0309	440.6117
186.2239	477.1283
180.4660	470.2118
174.9608	463.0926
476.7006	85.1580
789.1038	410.4759
780.8113	413.9737
772.5188	417.4714
813.9813	399.9826
805.6888	403.4803
797.3963	406.9781
764.2263	420.9692
731.0563	434.9603
722.7638	438.4581
714.4713	441.9559
755.9338	424.4670
747.6413	427.9648
739.3488	431.4626
822.2738	396.4848
893.3252	345.6508
889.0178	353.5469
883.7960	360.8706
900.2133	319.6948
898.9635	328.6021
896.6565	337.2958
877.7351	367.5165
847.1513	385.9915
838.8588	389.4892
830.5663	392.9870
870.9222	373.3890
863.4552	378.4038
855.4416	382.4885
706.1788	445.4537
556.9138	508.4136
548.6213	511.9114
540.3288	515.4092
581.7913	497.9203
573.4988	501.4181
565.2063	504.9158
532.0363	518.9069
498.8663	532.8980
490.5738	536.3958
482.2813	539.8936
523.7438	522.4047
515.4513	525.9025
507.1588	529.4003
590.0838	494.4225
673.0088	459.4448
664.7163	462.9425
656.4238	466.4403
697.8863	448.9514
689.5938	452.4492
681.3013	455.9470
648.1313	469.9381
614.9613	483.9292
606.6688	487.4270
598.3763	490.9247
639.8388	473.4359
631.5463	476.9336
623.2538	480.4314
625.9532	148.1472
634.2450	151.6466
642.5368	155.1460
601.0778	137.6490
609.3696	141.1484
617.6614	144.6478
650.8287	158.6454
683.9959	172.6431
692.2877	176.1425
700.5796	179.6419
659.1205	162.1448
667.4123	165.6442
675.7041	169.1437
592.7860	134.1496
509.8678	99.1556
518.1596	102.6550
526.4514	106.1544
484.9924	88.6574
493.2842	92.1568
501.5760	95.6562
534.7433	109.6538
567.9105	123.6514
576.2023	127.1508
584.4941	130.6502
543.0351	113.1532
551.3269	116.6526
559.6187	120.1520
708.8714	183.1413
858.0848	246.2191
865.9340	250.6116
873.2009	255.9121
833.2486	235.6323
841.5404	239.1317
849.8322	242.6311
879.7809	262.0444
897.5161	292.9761
899.4843	301.7527
900.3877	310.7019
885.5796	268.9204
890.5134	276.4410
894.5114	284.4982
824.9568	232.1329
742.0386	197.1389
750.3304	200.6383
758.6223	204.1377
717.1632	186.6407
725.4550	190.1401
733.7468	193.6395
766.9141	207.6371
800.0813	221.6347
808.3731	225.1341
816.6650	228.6335
775.2059	211.1365
783.4977	214.6359
791.7895	218.1353
